transaction_id,customer_id,transaction_date,mcc,amount_rub,channel,risk_flag
T0001,C001,2026-06-01,5411,950.0,card,False
T0002,C002,2026-06-02,5812,2400.0,sbp,False
T0003,C003,2026-06-03,6011,7200.0,atm,False
T0004,C004,2026-06-04,7995,151000.0,card,True
T0005,C001,2026-06-05,4111,420.0,online,False
T0006,C002,2026-06-06,5411,950.0,card,False
T0007,C003,2026-06-07,5812,2400.0,sbp,False
T0008,C004,2026-06-01,6011,7200.0,atm,False
T0009,C001,2026-06-02,7995,151000.0,card,True
T0010,C002,2026-06-03,4111,420.0,online,False
T0011,C003,2026-06-04,5411,950.0,card,False
T0012,C004,2026-06-05,5812,2400.0,sbp,False
T0013,C001,2026-06-06,6011,7200.0,atm,False
T0014,C002,2026-06-07,7995,151000.0,card,True
T0015,C003,2026-06-01,4111,420.0,online,False
T0016,C004,2026-06-02,5411,950.0,card,False
T0017,C001,2026-06-03,5812,2400.0,sbp,False
T0018,C002,2026-06-04,6011,7200.0,atm,False
T0019,C003,2026-06-05,7995,151000.0,card,True
T0020,C004,2026-06-06,4111,420.0,online,False
